"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram"
"11" "32.9" "78" "4" " 15. kerület, Nyírpalota út " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA "nincs megadva"
"12" "26.9" "32" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "jó állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "42.77" "42" "1" " 6. kerület, Külso-Terézváros " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA NA
"14" "59" "72" "2" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "külön és egyben is" "kelet" "nincs megadva" "11 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA "2020" NA NA NA
"15" "62.9" "73" "2" " 11. kerület, Kende utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület" NA "1950-1980 között" NA NA NA
"16" "58" "68" "1" " 7. kerület, Dohány utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs" NA NA
"17" "29.9" "70" "3" " 17. kerület, Pesti út 149. " "közepes állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "6 m²" "nem" "nincs megadva" "utca, közterület" NA "1981-2000 között" "nincs" "22 000 Ft/hó" "részt vett"
"18" "45.99" "52" "2" " 9. kerület, Vendel sétány " "újszeru" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nem" "nincs megadva" "nincs megadva" NA "2001-2010 között" NA "18 000 Ft/hó" NA
"19" "44.9" "80" "4" " 23. kerület, Soroksár – Vargatelep " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "elektromos" "nem" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "2019" NA NA NA
"20" "22.8" "27" "1" " 14. kerület, Egressy út " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "1981-2000 között" NA NA NA
