"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "epites_eve" "rezsikoltseg" "panelprogram" "legkondicionalo"
"11" "81.9" "138" "2" " 14. kerület, Thököly út " "nincs megadva" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "50 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA "1950 elott" NA NA NA
"12" "50.5" "73" "3" " 19. kerület, Kispest-Óváros " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "nem" "egy helyiségben" "nincs megadva" "utcai" "9.6 m²" "igen" "nem tetotéri" "udvari beálló - megvásárolható" "2.5 M Ft" "2019" NA NA NA
"13" "166.51" "125" "4" " 9. kerület, Vágóhíd utca " "nincs megadva" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "105 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2019" NA NA NA
"14" "139" "140" "5" " 13. kerület, Meder utca " "újszeru" "luxus" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "14 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "van"
"15" "47" "48" "1" " 11. kerület, Kelenföld " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "északnyugat" "utcai" "10 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "1950-1980 között" "9 000 Ft/hó" NA "van"
"16" "18.9" "31" "1" " 8. kerület, Szerdahelyi utca " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA
"17" "81.3" "92" "3" " 4. kerület, Káposztásmegyer – Homoktövis lakópark " "felújított" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "északnyugat" "kertre nézo" "5 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA "2001-2010 között" "40 000 Ft/hó" NA NA
"18" "35.7" "52" "2" " 4. kerület, Újpest " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" "30 000 Ft/hó" NA NA
"19" "28.4" "53" "2" " 15. kerület, Újpalota " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" "32 000 Ft/hó" "nincs megadva" NA
"20" "38.8" "68" "3" " 14. kerület, Rákosfalva " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" "32 000 Ft/hó" "nincs megadva" NA
