"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "epites_eve" "rezsikoltseg" "erkely" "parkolohely_ara"
"11" "33.5" "49" "2" " 3. kerület, Kerék utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "1950-1980 között" NA "4 m²" NA
"12" "15.5" "23" "1" " 4. kerület, Megyer " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület" NA "2019" NA NA NA
"13" "56.4" "46" "2" " 2. kerület, II/A kerület – Budaliget " "újszeru" "összkomfortos" "AA+" "1" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" NA "teremgarázs hely - benne van az árban" NA "2018" NA "8 m²" NA
"14" "201.35" "103" "3" " 11. kerület, Gellérthegy " "új építésu" "duplakomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" "van" "2020" NA "30 m²" "9 M Ft"
"15" "59.89" "97" "3" " 2. kerület, Tölgyfa utca " "nincs megadva" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "1950 elott" "25 000 Ft/hó" NA NA
"16" "31.07" "32" "1" " 13. kerület, Angyalföld " "új építésu" "nincs megadva" "nincs megadva" "4" "6" "van" "nincs megadva" "hoszivattyú" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA "2020" NA "4.24 m²" "2.5 M Ft"
"17" "37.5" "62" "2" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA NA NA
"18" "37" "54" "2" " 11. kerület, Rátz László utca " "közepes állapotú" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA "1981-2000 között" NA "6 m²" NA
"19" "24.8" "53" "3" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "van" "1950-1980 között" "11 000 Ft/hó" "3 m²" NA
"20" "23.4" "45" "2" " 17. kerület, Rákoskeresztúr – Pesti úti lakópark " "felújítandó" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA "1950-1980 között" NA NA NA
