"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara"
"11" "149.95" "141" "4" " 13. kerület, Angyalföld – Loportárdulo " "új építésu" "2019" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" "40 m²" "7.5 M Ft"
"12" "32.9" "32" "1" " 13. kerület, Angyalföld " "új építésu" "2020" "nincs megadva" "nincs megadva" "1" "6" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "7.86 m²" "3.5 M Ft"
"13" "56" "62" "2" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "tetotéri" "utca, közterület" NA NA
"14" "35" "38" "1" " 13. kerület, Kartács utca 2. " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gázkazán" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "tetotéri" "utca, közterület" NA NA
"15" "106.92" "97" "4" " 11. kerület, Sasad " "új építésu" "2020" "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "60 m²" "4 M Ft"
"16" "92.4" "93" "4" " 11. kerület, Sasad " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "23 m²" "4 M Ft"
"17" "34.5" "48" "2" " 20. kerület, Pacsirtatelep " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"18" "41.5" "68" "3" " 19. kerület, Kispest-Óváros " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA
"19" "62.15" "62" "3" " 11. kerület, Sasad " "új építésu" "2020" "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "nincs megadva" "igen" "külön és egyben is" "délkelet" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "16.1 m²" "4 M Ft"
"20" "36.9" "34" "1" " 11. kerület, Sasad " "új építésu" "2020" "nincs megadva" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "7.34 m²" "4 M Ft"
