"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"11" "39" "73" "2.5" " 3. kerület, Kaszásduloi lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "nincs megadva"
"12" "27.9" "49" "2" " 3. kerület, Bécsi út " "felújítandó" NA "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nem" "külön helyiségben" "kelet" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva"
"13" "17.5" "25" "1" " 4. kerület, Lorinc utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA
"14" "24.9" "58" "2" " 17. kerület, Rákoskeresztúri lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "D" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva"
"15" "23.5" "47" "1" " 21. kerület, Csepel-Szabótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett"
"16" "50" "79" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), cserépkályha" NA NA "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"17" "22.9" "50" "2" " 18. kerület, Szemeretelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "van" NA "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA
"18" "37.5" "48" "2" " 14. kerület, Herminamezo " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs" NA "nem" "egy helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA
"19" "58.5" "75" "2" " 14. kerület, Abonyi utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "délnyugat" "utcai" "5 m²" "nem" "tetotéri" "udvari beálló - benne van az árban" NA
"20" "18.9" "36" "1" " 10. kerület, Gergely utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" NA "nem" "egy helyiségben" "nyugat" "utcai" "1.6 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA
